IOPAC,PACFIN_PORT_CODE,Pacfin Port Name,Pacfin Port Description,Agency Name,PACFIN_LAT,PACFIN_LONG,Map_order,"in LB.ShortForm.with.Hake.Strat, 24 Mar 2022",PRIMARY_LATITUDE,PRIMARY_LONGITUDE,STATE
Fort Bragg,ALB,ALBION,ALBION,CDFW,39.225327,-123.757586,63,,,,
San Francisco,ALM,ALAMEDA,ALAMEDA,CDFW,37.741911,-122.259914,75,,,,
Astoria,AST,ASTORIA,ASTORIA,ODFW,46.187375,-123.815073,26,x,46.187375,-123.815073,Oregon
Fort Bragg,ARE,PNT ARENA,POINT ARENA,CDFW,38.912314,-123.695593,64,,,,
Bodega Bay,BDG,BODEGA BAY,BODEGA BAY,CDFW,38.327215,-123.02923,66,x,38.327215,-123.02923,California
Brookings,BRK,BROOKINGS,BROOKINGS,ODFW,42.072408,-124.304909,50,x,42.072408,-124.304909,Oregon
Monterey,BCR,BIG CREEK,BIG CREEK,CDFW,37.203565,-119.248489,83,,,,
Bodega Bay,BDA,BODEGA,BODEGA BAY AREA PORTS,CDFW,38.327215,-123.02923,65,,,,
Brookings,ORF,ORFORD,PORT ORFORD,ODFW,42.749276,-124.498118,47,x,42.072408,-124.304909,Oregon
Coos Bay,BDN,BANDON,BANDON,ODFW,43.11469,-124.41552,46,,,,
Fort Bragg,BGA,BRAGG,FORT BRAGG AREA PORTS,CDFW,39.439803,-123.801757,60,,,,
San Francisco,BKL,BERKELEY,BERKELEY,CDFW,37.866972,-122.299147,72,,,,
Coos Bay,COS,COOS BAY,Charleston (Coos Bay),ODFW,43.381126,-124.232597,45,x,43.381126,-124.232597,Oregon
Coos Bay,FLR,FLORENCE,FLORENCE,ODFW,43.991632,-124.106456,42,x,43.381126,-124.232597,Oregon
San Francisco,BOL,BOLINAS,BOLINAS,CDFW,37.917725,-122.709502,71,,,,
Brookings,BRA,BROOKINGS,BROOKINGS AREA PORTS,ODFW,42.072408,-124.304909,49,,,,
Coos Bay,WIN,WINCHESTER,WINCHESTER BAY,ODFW,43.669982,-124.186938,43,x,43.381126,-124.232597,Oregon
Crescent City,CRS,CRESCENT,CRESCENT CITY,CDFW,41.764514,-124.200779,52,x,41.764514,-124.200779,California
Coos Bay,CBA,COOS BAY,COOS BAY AREA PORTS,ODFW,43.381126,-124.232597,44,,,,
Crescent City,CCA,CRESCENT,CRESCENT CITY AREA PORTS,CDFW,41.764514,-124.200779,51,,,,
Astoria,CNB,CANNON BCH,CANNON BEACH,ODFW,45.888,-123.960133,28,,,,
Crescent City,ODN,O D NORTE,OTHER DEL NORTE COUNTY PORTS,,41.5324134,-124.0074855,53,x,41.764514,-124.200779,California
WA Coast,CPL,COPALIS,COPALIS BEACH,WDFW,47.124571,-124.166453,20,,,,
Eureka,ERK,EUREKA,EUREKA,CDFW,40.793401,-124.155246,56,x,40.793401,-124.155246,California
Columbia River,CRV,COL RIVER,PSUEDO PORT CODE FOR COLUMBIA RIVER,ODFW,45.637156,-122.596567,30,,,,
Eureka,OHB,O HUMBOLDT,OTHER HUMBOLDT COUNTY PORTS,CDFW,40.579891,-124.261909,58,x,40.793401,-124.155246,California
Los Angeles,DNA,DANA POINT,DANA POINT,CDFW,33.475452,-117.693087,107,,,,
Newport,DPO,DEPOE BAY,DEPOE BAY,ODFW,44.809106,-124.059688,36,,,,
Eureka,ERA,EUREKA,EUREKA AREA PORTS,CDFW,40.793401,-124.155246,55,,,,
Fort Bragg,BRG,FORT BRAGG,FORT BRAGG,CDFW,39.439803,-123.801757,61,x,39.439803,-123.801757,California
Puget Sound,EVR,EVERETT,EVERETT,WDFW,47.956452,-122.191349,12,,,,
Eureka,FLN,FIELDS LDG,FIELDS LANDING,CDFW,40.724236,-124.218603,57,,,,
Los Angeles,SP,SAN PEDRO,SAN PEDRO,CDFW,34.019394,-118.410825,102,x,34.019394,-118.410825,California
Puget Sound,FRI,FRIDAY H.,FRIDAY HARBOR,WDFW,48.533947,-123.018995,4,,,,
Brookings,GLD,GOLD BEACH,GOLD BEACH,ODFW,42.413297,-124.422162,48,,,,
WA Coast,GRH,GRAYS HRBR,GRAYS HARBOR,WDFW,46.977202,-123.909716,22,,,,
